Year;Company code;Function;TRIR;LTIR
2014;A         ;Construction;16,61;6,64
2014;A         ;Drilling;6,33;3,17
2014;A         ;Exploration;3,47;0
2014;A         ;Production;7,07;3,03
2014;A         ;Unspecified;0,45;0,45
2014;AA        ;Construction;1,35;0,27
2014;AA        ;Drilling;1,73;0,56
2014;AA        ;Exploration;1,89;0,2
2014;AA        ;Production;1,79;0,29
2014;AA        ;Unspecified;0,48;0,18
2014;B         ;Unspecified;0,95;0,54
2014;BB        ;Drilling;16,13;2,69
2014;BB        ;Exploration;1,25;0
2014;BB        ;Unspecified;0;0
2014;C         ;Construction;2,49;1,25
2014;C         ;Drilling;3,29;0
2014;C         ;Exploration;3,5;0
2014;C         ;Production;8,85;2,53
2014;C         ;Unspecified;0;0
2014;CC        ;Construction;0,56;0
2014;CC        ;Drilling;2,84;1,12
2014;CC        ;Exploration;0,76;0,25
2014;CC        ;Production;0,63;0,16
2014;CC        ;Unspecified;0;0
2014;D         ;Construction;1,94;0,69
2014;D         ;Drilling;7,25;2,52
2014;D         ;Exploration;0,43;0
2014;D         ;Production;3,48;1,21
2014;D         ;Unspecified;6,2;1,55
2014;DD        ;Construction;0,59;0,12
2014;DD        ;Drilling;2,07;0,53
2014;DD        ;Exploration;1,87;0,33
2014;DD        ;Production;1,13;0,32
2014;DD        ;Unspecified;0,98;0,17
2014;E         ;Drilling;4,33;0,85
2014;E         ;Exploration;2,38;0,13
2014;E         ;Production;4,37;1,56
2014;E         ;Unspecified;1,83;0,52
2014;EE        ;Construction;0,39;0,06
2014;EE        ;Drilling;1,15;0,48
2014;EE        ;Exploration;0,35;0
2014;EE        ;Production;0,99;0,42
2014;EE        ;Unspecified;0,25;0,13
2014;F         ;Construction;0;0
2014;F         ;Drilling;3;2,4
2014;F         ;Exploration;0,36;0,36
2014;F         ;Production;1,42;1,12
2014;F         ;Unspecified;0;0
2014;FF        ;Construction;0,56;0,17
2014;FF        ;Drilling;2,14;0,55
2014;FF        ;Production;1,12;0,23
2014;FF        ;Unspecified;0,52;0,1
2014;G         ;Construction;5,34;0,31
2014;G         ;Drilling;5,19;1,53
2014;G         ;Exploration;0;0
2014;G         ;Production;2,99;0,81
2014;G         ;Unspecified;0;0
2014;GG        ;Construction;0,63;0,63
2014;GG        ;Production;0;0
2014;GG        ;Unspecified;0;0
2014;H         ;Construction;3,9;0,33
2014;H         ;Drilling;10,2;3,79
2014;H         ;Exploration;0;0
2014;H         ;Production;3,1;1,41
2014;H         ;Unspecified;0;0
2014;HH        ;Construction;0,33;0,13
2014;HH        ;Drilling;1,4;0,66
2014;HH        ;Exploration;0;0
2014;HH        ;Production;0,58;0,19
2014;HH        ;Unspecified;0,46;0,18
2014;I         ;Drilling;4,21;1,4
2014;I         ;Exploration;13,22;7,65
2014;I         ;Production;2,78;0,63
2014;II        ;Construction;1,63;0,41
2014;II        ;Drilling;3,17;0,7
2014;II        ;Exploration;1,68;0,42
2014;II        ;Production;1,03;0,06
2014;II        ;Unspecified;0,22;0
2014;J         ;Drilling;3,9;1,8
2014;J         ;Production;1,81;0,5
2014;JJ        ;Construction;4,27;1,42
2014;JJ        ;Drilling;2,1;0
2014;JJ        ;Exploration;0;0
2014;JJ        ;Production;2,35;0
2014;JJ        ;Unspecified;0,29;0,29
2014;K         ;Construction;4,07;1,28
2014;K         ;Drilling;5,56;2,17
2014;K         ;Exploration;2,02;0
2014;K         ;Production;2,63;0,44
2014;KK        ;Construction;0,22;0,04
2014;KK        ;Drilling;6,41;1,52
2014;KK        ;Exploration;1,83;0
2014;KK        ;Production;0,32;0,12
2014;KK        ;Unspecified;0,56;0,16
2014;L         ;Construction;1,73;0,69
2014;L         ;Drilling;2,91;1,04
2014;L         ;Exploration;0;0
2014;L         ;Production;6,12;0,99
2014;L         ;Unspecified;2,61;0,26
2014;LL        ;Construction;0,93;0,13
2014;LL        ;Drilling;1,14;0,32
2014;LL        ;Exploration;0;0
2014;LL        ;Production;0,53;0,16
2014;LL        ;Unspecified;0,62;0,24
2014;M         ;Construction;2,31;1,38
2014;M         ;Drilling;1,46;0,49
2014;M         ;Production;0,45;0
2014;M         ;Unspecified;0,44;0,44
2014;MM        ;Unspecified;1,44;0,18
2014;N         ;Drilling;4,4;0,88
2014;N         ;Unspecified;2,75;0
2014;NN        ;Construction;0,76;0,07
2014;NN        ;Drilling;3,47;0,45
2014;NN        ;Exploration;1,73;0
2014;NN        ;Production;2,2;0,24
2014;NN        ;Unspecified;0,49;0,06
2014;O         ;Construction;5,68;0,49
2014;O         ;Drilling;4,88;1
2014;O         ;Exploration;1;0
2014;O         ;Production;3,45;0,66
2014;O         ;Unspecified;1,2;0,24
2014;OO        ;Production;0,9;0,18
2014;OO        ;Unspecified;0;0
2014;OVERALL   ;Construction;1,08;0,16
2014;OVERALL   ;Drilling;2,78;0,78
2014;OVERALL   ;Exploration;1,48;0,3
2014;OVERALL   ;OVERALL;1,54;0,36
2014;OVERALL   ;Production;1,75;0,4
2014;OVERALL   ;Unspecified;0,85;0,17
2014;P         ;Construction;3,95;0
2014;P         ;Drilling;3,75;0,23
2014;P         ;Exploration;1,28;0,64
2014;P         ;Production;3,81;1,4
2014;P         ;Unspecified;0,83;0,36
2014;PP        ;Construction;1,4;0,14
2014;PP        ;Drilling;0,63;0,31
2014;PP        ;Exploration;0;0
2014;PP        ;Production;1,41;0
2014;PP        ;Unspecified;1,45;0,13
2014;Q         ;Drilling;2,17;0,79
2014;Q         ;Exploration;2,49;0,96
2014;Q         ;Production;2,09;0,31
2014;Q         ;Unspecified;0,24;0,24
2014;QQ        ;Construction;1,27;0,08
2014;QQ        ;Drilling;1,73;0,29
2014;QQ        ;Exploration;0,19;0
2014;QQ        ;Production;0,75;0,13
2014;QQ        ;Unspecified;0,72;0,06
2014;R         ;Construction;4,45;0,74
2014;R         ;Drilling;2,82;0,9
2014;R         ;Exploration;1,41;0,56
2014;R         ;Production;0,83;0
2014;R         ;Unspecified;0,48;0,32
2014;RR        ;Construction;1,44;0
2014;RR        ;Drilling;3,27;0
2014;RR        ;Exploration;4,35;0
2014;RR        ;Production;2,19;0,25
2014;RR        ;Unspecified;0;0
2014;S         ;Construction;0,6;0,36
2014;S         ;Drilling;2,22;0,91
2014;S         ;Exploration;1,34;0,45
2014;S         ;Production;1,06;0,43
2014;S         ;Unspecified;1,4;0,55
2014;SS        ;Construction;1;0
2014;SS        ;Drilling;2,05;0,07
2014;SS        ;Production;1,39;0,2
2014;SS        ;Unspecified;0,96;0
2014;T         ;Construction;0;0
2014;T         ;Drilling;4,93;0,55
2014;T         ;Exploration;0;0
2014;T         ;Production;8,66;0,87
2014;T         ;Unspecified;2,69;0,38
2014;TT        ;Construction;0,07;0
2014;TT        ;Drilling;1,86;0,16
2014;TT        ;Exploration;0;0
2014;TT        ;Production;0,81;0,13
2014;TT        ;Unspecified;0,09;0
2014;U         ;Construction;0,86;0,43
2014;U         ;Drilling;4,05;0,81
2014;U         ;Exploration;3,16;0,63
2014;U         ;Production;0,7;0,46
2014;U         ;Unspecified;1,54;0
2014;UU        ;Construction;1;0,06
2014;UU        ;Drilling;0;0
2014;UU        ;Production;0,5;0
2014;V         ;Construction;1,91;0,36
2014;V         ;Drilling;2,34;0,75
2014;V         ;Exploration;4,41;0
2014;V         ;Production;1,18;0,49
2014;V         ;Unspecified;0,29;0,1
2014;VV        ;Construction;0;0
2014;VV        ;Drilling;2,17;0
2014;VV        ;Production;3,23;0
2014;VV        ;Unspecified;0;0
2014;W         ;Construction;;0,19
2014;W         ;Drilling;;0,92
2014;W         ;Exploration;;0
2014;W         ;Production;;0,21
2014;W         ;Unspecified;;0,09
2014;WW        ;Construction;0,19;0
2014;WW        ;Production;0,2;0
2014;X         ;Construction;0;0
2014;X         ;Drilling;1,97;0,28
2014;X         ;Exploration;2,76;0,39
2014;X         ;Production;3,46;0,66
2014;X         ;Unspecified;0,69;0,14
2014;XX        ;Drilling;4,21;0
2014;XX        ;Exploration;2,46;0
2014;XX        ;Unspecified;0;0
2014;Y         ;Construction;1,1;0,41
2014;Y         ;Drilling;0,73;0,6
2014;Y         ;Exploration;0,57;0,57
2014;Y         ;Production;0,58;0,05
2014;Y         ;Unspecified;0,96;0,29
2014;YY        ;Drilling;0;0
2014;YY        ;Unspecified;0;0
2014;Z         ;Construction;0,8;0,18
2014;Z         ;Drilling;1,15;0,57
2014;Z         ;Exploration;0;0
2014;Z         ;Production;0,39;0,09
2014;Z         ;Unspecified;1,86;0,86
2014;ZZ        ;Drilling;6,97;0
2014;ZZ        ;Production;0;0
2015;A         ;Unspecified;0,4;0,13
2015;AA        ;Unspecified;0,86;0,29
2015;B         ;Drilling;4,26;2,13
2015;B         ;Production;2,06;1,01
2015;BB        ;Construction;1,36;0,18
2015;BB        ;Drilling;1,3;0,28
2015;BB        ;Exploration;4,65;2,33
2015;BB        ;Production;1,62;0,44
2015;BB        ;Unspecified;0,39;0,13
2015;C         ;Construction;4,84;4,03
2015;C         ;Drilling;6,48;3,02
2015;C         ;Exploration;0,9;0,9
2015;C         ;Production;1,8;0,74
2015;C         ;Unspecified;1,82;1,82
2015;CC        ;Drilling;0;0
2015;CC        ;Production;6,45;1,08
2015;CC        ;Unspecified;1,33;0
2015;D         ;Construction;1,75;0,37
2015;D         ;Drilling;4,61;1,4
2015;D         ;Exploration;0,41;0,41
2015;D         ;Production;2,98;1,4
2015;D         ;Unspecified;3,22;1,61
2015;DD        ;Unspecified;1,02;0,27
2015;E         ;Construction;0;0
2015;E         ;Drilling;6,05;2,02
2015;E         ;Exploration;0;0
2015;E         ;Production;9,03;1,23
2015;E         ;Unspecified;1,63;0,65
2015;EE        ;Construction;0,96;0,16
2015;EE        ;Drilling;2,09;0,52
2015;EE        ;Exploration;1,31;0,12
2015;EE        ;Production;1,05;0,33
2015;EE        ;Unspecified;0,66;0,15
2015;F         ;Drilling;3,48;0,86
2015;F         ;Exploration;2,58;0,43
2015;F         ;Production;4,06;1,46
2015;F         ;Unspecified;0,9;0,18
2015;FF        ;Construction;0,89;0,05
2015;FF        ;Drilling;2,36;0,27
2015;FF        ;Exploration;0,3;0
2015;FF        ;Production;1,98;0,27
2015;FF        ;Unspecified;0,67;0,12
2015;G         ;Construction;6,59;1,73
2015;G         ;Drilling;6,29;1,05
2015;G         ;Production;4,32;0,66
2015;GG        ;Construction;0,59;0,1
2015;GG        ;Drilling;2,28;0,37
2015;GG        ;Production;1,2;0,19
2015;GG        ;Unspecified;0,19;0,04
2015;H         ;Construction;2,27;0,43
2015;H         ;Drilling;8,57;2,45
2015;H         ;Exploration;0;0
2015;H         ;Production;3,97;0,61
2015;H         ;Unspecified;3,16;0,73
2015;HH        ;Construction;1,18;0,16
2015;HH        ;Drilling;1,92;0,64
2015;HH        ;Exploration;0;0
2015;HH        ;Production;2,44;0
2015;HH        ;Unspecified;0,68;0,11
2015;I         ;Construction;11,24;3,75
2015;I         ;Drilling;3,8;0,63
2015;I         ;Exploration;0,95;0,47
2015;I         ;Production;1,51;0
2015;I         ;Unspecified;2,06;1,23
2015;II        ;Construction;0,27;0,03
2015;II        ;Drilling;3,18;0,28
2015;II        ;Exploration;1,13;0,57
2015;II        ;Production;0,44;0,26
2015;II        ;Unspecified;0,49;0,05
2015;J         ;Construction;2,88;1,03
2015;J         ;Drilling;6,32;0,9
2015;J         ;Exploration;0;0
2015;J         ;Production;3,1;0,59
2015;J         ;Unspecified;0,48;0,24
2015;JJ        ;Construction;0,3;0,09
2015;JJ        ;Drilling;0,77;0,17
2015;JJ        ;Exploration;0,64;0
2015;JJ        ;Production;0,51;0,25
2015;JJ        ;Unspecified;0,12;0,06
2015;K         ;Construction;2,44;0,3
2015;K         ;Drilling;3,73;1,05
2015;K         ;Exploration;0;0
2015;K         ;Production;3,07;0,79
2015;K         ;Unspecified;0,88;0,26
2015;KK        ;Construction;1,29;0,26
2015;KK        ;Drilling;2,98;0,19
2015;KK        ;Exploration;8,33;8,33
2015;KK        ;Production;0,78;0,07
2015;KK        ;Unspecified;0,14;0
2015;L         ;Construction;0;0
2015;L         ;Drilling;2,86;1,1
2015;L         ;Exploration;0;0
2015;L         ;Production;4,25;0,5
2015;L         ;Unspecified;1,33;0,67
2015;LL        ;Construction;0,57;0,08
2015;LL        ;Drilling;0;0
2015;LL        ;Production;0,52;0,17
2015;M         ;Construction;;0,18
2015;M         ;Drilling;;0,48
2015;M         ;Exploration;;0,13
2015;M         ;Production;;0,63
2015;M         ;Unspecified;;0,04
2015;MM        ;Construction;0,45;0,07
2015;MM        ;Drilling;1,2;0,25
2015;MM        ;Exploration;0;0
2015;MM        ;Production;0,63;0,11
2015;MM        ;Unspecified;0,36;0,26
2015;N         ;Construction;2,34;0
2015;N         ;Drilling;2,61;0,65
2015;N         ;Production;1,83;0,58
2015;N         ;Unspecified;0,34;0
2015;NN        ;Construction;0,75;0
2015;NN        ;Drilling;0,77;0,28
2015;NN        ;Exploration;0;0
2015;NN        ;Production;0,72;0,13
2015;NN        ;Unspecified;0,26;0
2015;O         ;Drilling;4,22;4,22
2015;O         ;Production;1,04;0
2015;O         ;Unspecified;0;0
2015;OO        ;Construction;0,33;0,05
2015;OO        ;Drilling;0,28;0
2015;OO        ;Exploration;0,96;0,48
2015;OO        ;Production;0,33;0,17
2015;OO        ;Unspecified;0,34;0
2015;OVERALL   ;Construction;1,01;0,16
2015;OVERALL   ;Drilling;2,12;0,48
2015;OVERALL   ;Exploration;0,88;0,2
2015;OVERALL   ;OVERALL;1,21;0,29
2015;OVERALL   ;Production;1,39;0,4
2015;OVERALL   ;Unspecified;0,67;0,16
2015;P         ;Construction;0;0
2015;P         ;Drilling;1,74;0
2015;P         ;Exploration;15,5;7,75
2015;P         ;Production;6,97;0
2015;P         ;Unspecified;0;0
2015;PP        ;Construction;1,6;0,09
2015;PP        ;Drilling;1,51;0,18
2015;PP        ;Exploration;0;0
2015;PP        ;Production;0,66;0,11
2015;PP        ;Unspecified;0,56;0,04
2015;Q         ;Construction;1,48;0,49
2015;Q         ;Drilling;1,52;0
2015;Q         ;Exploration;1,81;0
2015;Q         ;Production;2,56;0,39
2015;Q         ;Unspecified;0,97;0,58
2015;QQ        ;Drilling;0;0
2015;QQ        ;Unspecified;0;0
2015;R         ;Construction;1,35;0
2015;R         ;Drilling;1,1;0,55
2015;R         ;Production;2,36;0,47
2015;R         ;Unspecified;0,42;0,42
2015;RR        ;Construction;0,5;0
2015;RR        ;Drilling;2,96;0
2015;RR        ;Exploration;4,69;0
2015;RR        ;Production;0,59;0
2015;RR        ;Unspecified;2,82;0
2015;S         ;Construction;0,89;0,13
2015;S         ;Drilling;1,14;0,74
2015;S         ;Exploration;0;0
2015;S         ;Production;1,53;0,4
2015;S         ;Unspecified;1,79;0,35
2015;SS        ;Construction;0;0
2015;SS        ;Production;0,98;0
2015;T         ;Construction;0,44;0,24
2015;T         ;Drilling;1,48;0,99
2015;T         ;Exploration;0;0
2015;T         ;Production;0,56;0,17
2015;T         ;Unspecified;1,48;0,87
2015;TT        ;Drilling;3,53;0
2015;TT        ;Unspecified;0,7;0
2015;U         ;Construction;8,06;0
2015;U         ;Drilling;2,34;0,63
2015;U         ;Exploration;1,19;0
2015;U         ;Production;1,72;0,26
2015;U         ;Unspecified;0,49;0,24
2015;UU        ;Construction;0,8;0
2015;UU        ;Exploration;0;0
2015;UU        ;Production;0;0
2015;UU        ;Unspecified;0;0
2015;V         ;Construction;1,33;0
2015;V         ;Drilling;4,48;0,45
2015;V         ;Exploration;7,19;0
2015;V         ;Production;2,44;0,54
2015;V         ;Unspecified;1,16;0
2015;VV        ;Unspecified;0;0
2015;W         ;Construction;0,83;0,41
2015;W         ;Drilling;2,14;0,5
2015;W         ;Production;0,52;0,17
2015;W         ;Unspecified;0,89;0,22
2015;WW        ;Production;4,24;0
2015;X         ;Production;1,79;0,6
2015;X         ;Unspecified;0;0
2015;Y         ;Construction;1,53;0,35
2015;Y         ;Drilling;1,79;0,36
2015;Y         ;Exploration;0;0
2015;Y         ;Production;1,51;0,37
2015;Y         ;Unspecified;0,35;0,13
2015;Z         ;Construction;1,16;0,35
2015;Z         ;Drilling;1,32;0,83
2015;Z         ;Exploration;1,26;0,32
2015;Z         ;Production;0,94;0,17
2015;Z         ;Unspecified;0,89;0
2016;A         ;Drilling;14,14;8,08
2016;A         ;Production;1,85;1,23
2016;AA        ;Construction;0,87;0,16
2016;AA        ;Drilling;1,84;0,35
2016;AA        ;Exploration;2,68;0,21
2016;AA        ;Production;1,16;0,33
2016;AA        ;Unspecified;0,67;0,1
2016;B         ;Construction;1,89;0,5
2016;B         ;Drilling;5,24;1,89
2016;B         ;Exploration;1,52;0,38
2016;B         ;Production;3,36;1,49
2016;B         ;Unspecified;0,57;0,57
2016;BB        ;Construction;0,3;0,07
2016;BB        ;Drilling;0,91;0,53
2016;BB        ;Exploration;0;0
2016;BB        ;Production;0,41;0,21
2016;BB        ;Unspecified;0,11;0,07
2016;C         ;Construction;0;0
2016;C         ;Drilling;4,45;1,48
2016;C         ;Exploration;0;0
2016;C         ;Production;1,91;1,49
2016;C         ;Unspecified;0;0
2016;CC        ;Construction;0,44;0
2016;CC        ;Drilling;1,73;0,46
2016;CC        ;Exploration;0;0
2016;CC        ;Production;1,78;0,24
2016;CC        ;Unspecified;0,18;0,04
2016;D         ;Drilling;1,69;1,69
2016;D         ;Unspecified;0;0
2016;DD        ;Construction;0,38;0,06
2016;DD        ;Drilling;1,84;0,36
2016;DD        ;Production;1,26;0,28
2016;DD        ;Unspecified;0,56;0,15
2016;E         ;Construction;4,5;1,5
2016;E         ;Drilling;0;0
2016;E         ;Production;4,39;2,19
2016;E         ;Unspecified;0;0
2016;EE        ;Construction;0,76;0,13
2016;EE        ;Drilling;0,87;0,18
2016;EE        ;Exploration;0,42;0
2016;EE        ;Production;1,17;0,15
2016;EE        ;Unspecified;0,52;0,17
2016;F         ;Construction;5,96;1,19
2016;F         ;Drilling;4,33;1,44
2016;F         ;Production;4,91;1,13
2016;F         ;Unspecified;1,65;0,27
2016;FF        ;Construction;0,54;0
2016;FF        ;Drilling;1,07;0,12
2016;FF        ;Production;1,17;0,39
2016;FF        ;Unspecified;0,22;0
2016;G         ;Construction;0;0
2016;G         ;Unspecified;3,67;0,89
2016;GG        ;Construction;0,92;0,13
2016;GG        ;Drilling;2,07;0,69
2016;GG        ;Production;1,49;0
2016;GG        ;Unspecified;1,16;0,12
2016;H         ;Construction;2,34;0,73
2016;H         ;Drilling;2,81;0,47
2016;H         ;Exploration;3,25;1,62
2016;H         ;Production;3,75;0,99
2016;H         ;Unspecified;;1,55
2016;HH        ;Construction;0,24;0,06
2016;HH        ;Drilling;1,05;0,23
2016;HH        ;Exploration;0;0
2016;HH        ;Production;0,63;0,08
2016;HH        ;Unspecified;0,1;0,05
2016;I         ;Construction;1,49;1,49
2016;I         ;Drilling;2,2;1,1
2016;I         ;Exploration;0;0
2016;I         ;Production;1,33;0,63
2016;I         ;Unspecified;0,45;0,45
2016;II        ;Unspecified;0,44;0,11
2016;J         ;Drilling;2,1;1
2016;J         ;Exploration;5,9;4,42
2016;J         ;Production;1,94;0,52
2016;JJ        ;Construction;0,12;0,04
2016;JJ        ;Drilling;2,97;0,48
2016;JJ        ;Exploration;0,67;0
2016;JJ        ;Production;0,16;0,07
2016;JJ        ;Unspecified;0,3;0,11
2016;K         ;Construction;0;0
2016;K         ;Drilling;5,69;1,9
2016;K         ;Production;0,57;0,57
2016;K         ;Unspecified;0;0
2016;KK        ;Construction;2,24;0
2016;KK        ;Drilling;1,75;0,35
2016;KK        ;Exploration;0;0
2016;KK        ;Production;0,62;0
2016;KK        ;Unspecified;0,46;0,15
2016;L         ;Construction;0;0
2016;L         ;Drilling;3,48;1,49
2016;L         ;Exploration;1,44;0
2016;L         ;Production;1,83;0,41
2016;L         ;Unspecified;0,5;0,25
2016;LL        ;Construction;0,98;0,05
2016;LL        ;Drilling;0,94;0,17
2016;LL        ;Exploration;0;0
2016;LL        ;Production;0,84;0,08
2016;LL        ;Unspecified;0,46;0,1
2016;M         ;Construction;1,79;0
2016;M         ;Drilling;5;0
2016;M         ;Exploration;3,16;0
2016;M         ;Production;3,16;0,72
2016;M         ;Unspecified;2,6;0,52
2016;MM        ;Construction;0,44;0,11
2016;MM        ;Production;0,36;0,07
2016;MM        ;Unspecified;0;0
2016;N         ;Unspecified;1,58;0,59
2016;NN        ;Drilling;5,07;0
2016;NN        ;Exploration;0;0
2016;NN        ;Unspecified;0;0
2016;O         ;Construction;0;0
2016;O         ;Drilling;2,32;1,39
2016;O         ;Exploration;0;0
2016;O         ;Production;0;0
2016;O         ;Unspecified;0;0
2016;OO        ;Production;0;0
2016;OVERALL   ;Construction;0,69;0,13
2016;OVERALL   ;Drilling;1,71;0,54
2016;OVERALL   ;Exploration;1,07;0,22
2016;OVERALL   ;OVERALL;1,03;0,27
2016;OVERALL   ;Production;1,32;0,34
2016;OVERALL   ;Unspecified;0,53;0,14
2016;P         ;Drilling;0;0
2016;P         ;Production;1,52;0,76
2016;P         ;Unspecified;0;0
2016;PP        ;Drilling;0,97;0
2016;PP        ;Exploration;0;0
2016;PP        ;Production;1,67;0
2016;PP        ;Unspecified;0,52;0
2016;Q         ;Construction;6,85;0
2016;Q         ;Drilling;1,41;0
2016;Q         ;Production;1,76;1,76
2016;Q         ;Unspecified;0;0
2016;QQ        ;Construction;0;0
2016;QQ        ;Production;0,19;0
2016;R         ;Construction;1,6;0
2016;R         ;Drilling;3,36;0,75
2016;R         ;Exploration;0;0
2016;R         ;Production;3,39;0,42
2016;R         ;Unspecified;1,24;0,41
2016;S         ;Construction;10,42;1,74
2016;S         ;Drilling;6,57;0
2016;S         ;Exploration;0;0
2016;S         ;Production;5,34;0,31
2016;S         ;Unspecified;1,65;0,33
2016;T         ;Construction;1,15;0,52
2016;T         ;Drilling;1,24;0,79
2016;T         ;Exploration;0;0
2016;T         ;Production;0,69;0,21
2016;T         ;Unspecified;0,43;0,14
2016;U         ;Unspecified;0,86;0,34
2016;V         ;Drilling;3,56;0
2016;V         ;Production;8,89;1,27
2016;V         ;Unspecified;0;0
2016;W         ;Construction;1,51;0
2016;W         ;Drilling;1,78;0,2
2016;W         ;Exploration;1,08;0,27
2016;W         ;Production;1,54;0,46
2016;W         ;Unspecified;0,43;0,17
2016;X         ;Construction;2,36;0,39
2016;X         ;Drilling;2,71;0
2016;X         ;Exploration;0;0
2016;X         ;Production;2,5;0,62
2016;X         ;Unspecified;0,41;0
2016;Y         ;Construction;0;0
2016;Y         ;Drilling;6,29;1,26
2016;Y         ;Exploration;1,36;1,36
2016;Y         ;Production;0,68;0
2016;Y         ;Unspecified;1,93;0
2016;Z         ;Construction;0,21;0,1
2016;Z         ;Drilling;0,81;0,68
2016;Z         ;Exploration;0;0
2016;Z         ;Production;0,67;0,23
2016;Z         ;Unspecified;0,41;0
2017;A         ;Production;5,66;2,27
2017;AA        ;Construction;1,05;0,35
2017;AA        ;Drilling;0,77;0
2017;AA        ;Production;1,35;0,37
2017;AA        ;Unspecified;0,57;0,28
2017;B         ;Production;9,48;4,74
2017;B         ;Unspecified;0;0
2017;BB        ;Construction;0,57;0,11
2017;BB        ;Drilling;1,39;0,86
2017;BB        ;Exploration;1,22;0
2017;BB        ;Production;1,4;0,2
